input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence,validation_verdict,validation_reason_codes
Arvest Bank,Rogers,AR,311845,ARVEST BANK,SMB,FAYETTEVILLE,AR,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Open Bank,Los Angeles,CA,3357219,OPEN BANK,NMB,LOS ANGELES,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Lbs Financial Credit Union,Westminster,CA,935072,LBS FINANCIAL CREDIT UNION,SCU,WESTMINSTER,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Texas Capital Bank,Dallas,TX,2618780,TEXAS CAPITAL BANK,SMB,DALLAS,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Community Bank,Dewitt,NY,23504,DIME COMMUNITY BANK,SMB,BRIDGEHAMPTON,NY,active,100.0,95.0,state,strong,accept,"city_mismatch,composite_capped"
KeyBank,Cleveland,OH,280110,KEYBANK NATIONAL ASSOCIATION,NAT,CLEVELAND,OH,active,100.0,90.0,"state,city",strong,accept,composite_capped
Main Street Bank,Fairfax,MI,3222175,MAIN STREET BANK,NMB,NORTHVILLE,MI,closed,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
1ST Midamerica Credit Union,Bethalto,IL,864293,1ST MIDAMERICA CREDIT UNION,SCU,BETHALTO,IL,active,100.0,100.0,"state,city",strong,accept,composite_capped
Fifth Third Bank,Cincinnati,OH,723112,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",NAT,CINCINNATI,OH,active,100.0,90.0,"state,city",strong,accept,composite_capped
Sierra Credit Corp,San Fernando,CA,47489,"CREDIT UNION OF SOUTHERN CALIFORNIA, A FEDERAL CREDIT UNION",FCU,ANAHEIM,CA,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
First United Bank,Oakland,OK,509950,FIRST UNITED BANK AND TRUST COMPANY,SMB,DURANT,OK,active,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
Stearns Bank N.A.,St Cloud,MN,126553,NORTH SHORE BANK OF COMMERCE,SMB,DULUTH,MN,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
US Bank,Minneapolis,MN,3971,MIDCOUNTRY BANK,CSA,BLOOMINGTON,MN,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Nicolet National Bank,Green Bay,WI,2941068,NICOLET NATIONAL BANK,NAT,GREEN BAY,WI,active,100.0,100.0,"state,city",strong,accept,composite_capped
Heritage Bank,Olympia,WI,1092534,HERITAGE BANK MT PLEASANT BUILDING CORPORATION,DEO,RACINE,WI,closed,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
First Financial Bank,Cincinnati,OH,165628,FIRST FINANCIAL BANK,SMB,CINCINNATI,OH,active,100.0,100.0,"state,city",strong,accept,composite_capped
Associated Bank,Green Bay,IL,340443,FIRST NATIONAL BANK IN PINCKNEYVILLE,NAT,PINCKNEYVILLE,IL,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Academy Bank,Kansas City,TN,834175,LAWRENCEBURG FEDERAL BANK,SSB,LAWRENCEBURG,TN,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
M&T Bank,Buffalo,NY,5933345,M&T BANK AUTO RECEIVABLES TRUST 2024-1,DEO,BUFFALO,NY,active,100.0,90.0,"state,city",strong,accept,composite_capped
First Tech Credit Union,San Jose,CA,684790,FIRST FUTURE CREDIT UNION,SCU,SAN DIEGO,CA,closed,100.0,87.5,"state,city",strong,review,"moderate_name_score,city_mismatch,composite_capped"
Mizuho Corporate Bank,New York,NJ,3729124,FREEDOM BANK,NMB,MAYWOOD,NJ,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Flagstar Bank,troy,MI,3852022,"FLAGSTAR BANCORP, INC.",SLHC,TROY,MI,closed,100.0,86.4,"state,city",strong,review,"moderate_name_score,composite_capped"
Atlantic Union Bank,Richmond,VA,693224,ATLANTIC UNION BANK,SMB,RICHMOND,VA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Columbia Bank,Tacoma,NJ,174572,COLUMBIA BANK,FSB,FAIR LAWN,NJ,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Silicon Valley Bank,Los Angeles,CA,802866,SILICON VALLEY BANK,SMB,SANTA CLARA,CA,closed,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Credit Acceptance Corporation,Southfield,MI,1147069,COMERICA ACCEPTANCE CORPORATION,FNC,DETROIT,MI,closed,100.0,86.7,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Stock Yards Bank & Trust,Louisville,IN,345747,STATE BANK,NMB,BROWNSBURG,IN,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Metrum Community Credit Union,Centennial,CO,670391,METRUM COMMUNITY CREDIT UNION,SCU,CENTENNIAL,CO,active,100.0,100.0,"state,city",strong,accept,composite_capped
Lakeland Bank,Oak Ridge,NJ,687009,LAKELAND BANK,NMB,NEWFOUNDLAND,NJ,closed,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Scott Credit Union,Edwardsville,IL,614199,SCOTT CREDIT UNION,SCU,EDWARDSVILLE,IL,active,100.0,100.0,"state,city",strong,accept,composite_capped
Sunwest Federal Credit Union,Phoenix,AZ,106171,SUNWEST FEDERAL CREDIT UNION,FCU,GLENDALE,AZ,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Homestreet Bank,Seattle,CO,106452,PB&T BANK,NMB,PUEBLO,CO,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Navy Federal Credit Union,Vienna,VA,617677,NAVY FEDERAL CREDIT UNION,FCU,VIENNA,VA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Visions Federal Credit Union,endicott,NY,562786,VISIONS FEDERAL CREDIT UNION,FCU,ENDICOTT,NY,active,100.0,100.0,"state,city",strong,accept,composite_capped
